1,United States,"$30,615,743,000,000",2%,"$89,599"
2,China,"$19,398,577,000,000",4.8%,"$13,806"
3,Germany,"$5,013,574,000,000",0.2%,"$59,925"
4,Japan,"$4,279,828,000,000",1.1%,"$34,713"
5,India,"$4,125,213,000,000",6.6%,"$2,818"
6,United Kingdom,"$3,958,780,000,000",1.3%,"$56,661"
7,France,"$3,361,557,000,000",0.7%,"$48,982"
8,Italy,"$2,543,677,000,000",0.5%,"$43,161"
9,Russia,"$2,540,656,000,000",0.6%,"$17,446"
10,Canada,"$2,283,599,000,000",1.2%,"$54,935"
11,Brazil,"$2,256,910,000,000",2.4%,"$10,578"
12,Spain,"$1,891,371,000,000",2.9%,"$38,040"
13,Mexico,"$1,862,740,000,000",1%,"$13,967"
14,South Korea,"$1,858,572,000,000",0.9%,"$35,962"
15,Australia,"$1,829,508,000,000",1.8%,"$65,946"
16,Turkey,"$1,565,471,000,000",3.5%,"$18,198"
17,Indonesia,"$1,443,256,000,000",4.9%,"$5,074"
18,Netherlands,"$1,320,635,000,000",1.4%,"$73,174"
19,Saudi Arabia,"$1,268,535,000,000",4%,"$35,231"
20,Poland,"$1,039,619,000,000",3.2%,"$28,485"
21,Switzerland,"$1,002,666,000,000",0.9%,"$111,047"
22,Taiwan,"$884,387,000,000",3.7%,"$37,827"
23,Belgium,"$716,980,000,000",1.1%,"$60,418"
24,Ireland,"$708,771,000,000",9.1%,"$129,132"
25,Argentina,"$683,371,000,000",4.5%,"$14,359"
26,Sweden,"$662,318,000,000",0.7%,"$62,036"
27,Israel,"$610,752,000,000",2.5%,"$60,009"
28,Singapore,"$574,185,000,000",2.2%,"$94,481"
29,United Arab Emirates,"$569,097,000,000",4.8%,"$51,348"
30,Austria,"$566,456,000,000",0.3%,"$61,694"
31,Thailand,"$558,573,000,000",2%,"$7,942"
32,Norway,"$517,102,000,000",1.2%,"$91,884"
33,Philippines,"$494,158,000,000",5.4%,"$4,321"
34,Vietnam,"$484,726,000,000",6.5%,"$4,745"
35,Bangladesh,"$475,011,000,000",3.8%,"$2,734"
36,Malaysia,"$470,572,000,000",4.5%,"$13,901"
37,Denmark,"$459,612,000,000",1.8%,"$76,581"
38,Colombia,"$438,121,000,000",2.5%,"$8,249"
39,Hong Kong,"$428,233,000,000",2.4%,"$56,844"
40,South Africa,"$426,383,000,000",1.1%,"$6,667"
41,Romania,"$422,508,000,000",1%,"$22,436"
42,Pakistan,"$410,495,000,000",2.7%,"$1,707"
43,Czech Republic (Czechia),"$383,384,000,000",2.3%,"$35,161"
44,Iran,"$356,513,000,000",0.6%,"$4,074"
45,Egypt,"$349,264,000,000",4.3%,"$3,191"
46,Chile,"$347,174,000,000",2.5%,"$17,181"
47,Portugal,"$337,936,000,000",1.9%,"$31,415"
48,Peru,"$318,480,000,000",2.9%,"$9,256"
49,Finland,"$314,724,000,000",0.5%,"$56,084"
50,Kazakhstan,"$300,052,000,000",5.9%,"$14,723"
